# G25 Scaled Coordinates
# Format: Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
# Sources: andrzej_zak (user provided), VK157/VK155 (Bodzia cemetery, Krzewińska et al. 2018)
Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
andrzej_zak,0.12862,0.114755,0.068259,0.066538,0.039392,0.023148,0.004935,0.010153,-0.000205,-0.028064,-0.003897,-0.008393,0.013231,0.018854,-0.005022,0.011138,0.018775,-0.001774,-0.002011,0.010005,-0.009483,-0.002597,0.001109,-0.001928,-0.000359
VK157,0.129758,0.135065,0.082589,0.070414,0.052625,0.022032,0.006345,0.007846,0.000000,-0.020046,-0.003085,-0.005245,0.016650,0.021607,-0.001493,-0.014187,-0.010952,0.001014,0.003268,0.004502,0.010856,-0.004575,0.002465,-0.009278,0.000120
VK155,0.133173,0.124910,0.075424,0.066215,0.046162,0.027610,-0.017391,0.005307,-0.002045,-0.025695,-0.012017,0.001499,0.009217,0.012524,-0.007465,-0.008221,-0.001695,0.002534,-0.002263,0.007253,0.000000,-0.013231,0.000000,0.002048,-0.009460
